source,target,value
4970,3163,0.003296266440803033
4970,3734,0.0029617756425225276
4971,3163,0.003296266440803033
4971,3734,0.0029617756425225276
3640,4844,0.003987078448957574
3640,4845,7.974156897915148E-4
3640,4846,7.974156897915148E-4
3640,4847,7.974156897915148E-4
1462,2,4.740134796846052
1462,28,2.102846324573649
1462,37,3.90842802435209
1462,38,3.606820962415374
1462,43,2.9809759107799683
1462,44,0.7601705840019083
1462,52,3.3734567068897476
1462,61,3.5527482589759973
1462,132,1.2678608527532798
1462,981,0.0258174652342211
1462,1461,0.0028832267651702896
1462,1463,0.00288322676517029
1462,1464,0.002871064939880032
1462,1465,0.002871064939880032
1462,1466,0.00288322676517029
1461,2,4.740134796846052
1461,28,2.102846324573649
1461,37,3.90842802435209
1461,38,3.606820962415374
1461,43,2.9809759107799683
1461,44,0.7601705840019083
1461,52,3.3734567068897476
1461,61,3.5527482589759973
1461,132,1.2678608527532798
1461,430,0.1437189975230194
1461,981,0.0258174652342211
1461,1462,0.002871064939880032
1461,1463,0.00288322676517029
1461,1464,0.002871064939880032
1461,1465,0.002871064939880032
1461,1466,0.00288322676517029
1460,2547,8.310283556759601E-5
1460,2548,8.310283556759601E-5
1460,2549,8.310283556759601E-5
1460,2550,8.310283556759601E-5
5816,822,1.1995838623287929
5816,3089,0.5284059689283808
1459,1396,4.725299328072651E-5
1459,1397,4.725299328072651E-5
1459,1398,6.698912075910434E-5
1459,1399,4.725299328072651E-5
1459,1400,4.725299328072651E-5
1459,1401,4.725299328072651E-5
1459,2546,4.256036803376901E-5
3638,3115,0.013775536990540897
3638,4843,0.0015948313795830296
4969,3163,0.003296266440803033
4969,3734,0.0029617756425225276
1458,963,0.0024463290768063236
1458,1533,0.0030314018828015545
1458,2115,1.7125727597652312E-4
1458,2544,3.1474779916032754E-5
1458,2545,3.1474779916032754E-5
3639,4844,0.003987078448957574
5818,5920,5.425712239140811E-4
5819,4799,8.259025994100085E-4
5819,5921,5.824575724094833E-5
2785,3513,1.8047050986511415E-5
